Date,WARD,TotalBedsUsed
2022-01-02,KHCC-10H-BMT,6
2022-01-02,KHCC-10H-MEDICAL/SURGICAL,16
2022-01-02,KHCC-11H-MEDICAL/SURGICAL,2
2022-01-02,KHCC-2A-MEDICAL/SURGICAL,8
2022-01-02,KHCC-2B-AICU,11
2022-01-02,KHCC-2C-SIMU,5
2022-01-02,KHCC-3A-MEDICAL/SURGICAL,17
2022-01-02,KHCC-3B-MEDICAL/SURGICAL,19
2022-01-02,KHCC-3C-SURGERY,34
2022-01-02,KHCC-4A-MEDICAL/SURGICAL,17
2022-01-02,KHCC-4B-MEDICAL/SURGICAL,19
2022-01-02,KHCC-4C-HUSSAM AL-HARIRI,30
2022-01-02,KHCC-4H-ADULT ICU,4
2022-01-02,KHCC-4H-BMT,14
2022-01-02,KHCC-5H-PEDIATRIC,14
2022-01-02,KHCC-5H-PEDIATRIC ICU,8
2022-01-02,KHCC-6H-PEDIATRIC,23
2022-01-02,KHCC-7H-BMT,18
2022-01-02,KHCC-8H-SHAKOUR ABU GHAZAL,23
2022-01-02,KHCC-9H-LEUKEMIA,19
2022-01-02,KHCC-ADULT DAY CASE KSB,4
2022-01-02,KHCC-EMERGENCY KSB ROOM,1
2022-01-02,KHCC-EMERGENCY ROOM,13
2022-01-02,KHCC-PED DAY CASE,6
2022-01-03,KHCC-10H-BMT,6
2022-01-03,KHCC-10H-MEDICAL/SURGICAL,16
2022-01-03,KHCC-2A-MEDICAL/SURGICAL,8
2022-01-03,KHCC-2B-AICU,10
2022-01-03,KHCC-2C-SIMU,6
2022-01-03,KHCC-3A-MEDICAL/SURGICAL,17
2022-01-03,KHCC-3B-MEDICAL/SURGICAL,19
2022-01-03,KHCC-3C-SURGERY,34
2022-01-03,KHCC-4A-MEDICAL/SURGICAL,16
2022-01-03,KHCC-4B-MEDICAL/SURGICAL,18
2022-01-03,KHCC-4C-HUSSAM AL-HARIRI,31
2022-01-03,KHCC-4H-ADULT ICU,3
2022-01-03,KHCC-4H-BMT,14
2022-01-03,KHCC-5H-PEDIATRIC,14
2022-01-03,KHCC-5H-PEDIATRIC ICU,7
2022-01-03,KHCC-6H-PEDIATRIC,23
2022-01-03,KHCC-7H-BMT,15
