Model,MSE,MAE,Ward
Additive,2.337135741328985,1.1730429254280481,KHCC-10H-BMT
Additive Damped,2.319947846384955,1.1696415338041104,KHCC-10H-BMT
Multiplicative,2.2150261865379384,1.1425895707212614,KHCC-10H-BMT
Multiplicative Damped,2.218996033461166,1.1434025144597488,KHCC-10H-BMT
Additive,4.267252321366983,1.1193078002775254,KHCC-10H-MEDICAL/SURGICAL
Additive Damped,4.049701921730416,1.070083630556146,KHCC-10H-MEDICAL/SURGICAL
Multiplicative,4.6971933405271065,1.2325129475820076,KHCC-10H-MEDICAL/SURGICAL
Multiplicative Damped,4.361692796126267,1.2333413745990993,KHCC-10H-MEDICAL/SURGICAL
Additive,7.978016605498573,2.1162555027147554,KHCC-11H-MEDICAL/SURGICAL
Additive Damped,7.7747405942810754,2.0972668590112997,KHCC-11H-MEDICAL/SURGICAL
Multiplicative,7.991875871821746,2.0939323905047456,KHCC-11H-MEDICAL/SURGICAL
Multiplicative Damped,4.31043514520558e+44,2.2123418858846636e+21,KHCC-11H-MEDICAL/SURGICAL
Additive,1.0363614738804603,0.4773512541688707,KHCC-2A-MEDICAL/SURGICAL
Additive Damped,0.9049930145484781,0.4363431629345563,KHCC-2A-MEDICAL/SURGICAL
Multiplicative,0.9304705271180874,0.4818579946597574,KHCC-2A-MEDICAL/SURGICAL
Multiplicative Damped,0.8238120615497222,0.42466274380378377,KHCC-2A-MEDICAL/SURGICAL
Additive,5.5921759867694,1.7932447507693547,KHCC-2B-AICU
Additive Damped,5.550842401512593,1.7844705859725594,KHCC-2B-AICU
Multiplicative,5.513247431755945,1.779953188568021,KHCC-2B-AICU
Multiplicative Damped,5.4713039130964845,1.771101854453033,KHCC-2B-AICU
Additive,2.0125839704213386,0.9077426809089548,KHCC-2C-SIMU
Additive Damped,2.007501932006701,0.9077485401533442,KHCC-2C-SIMU
Multiplicative,2.0996489357474344,0.934761392632684,KHCC-2C-SIMU
Multiplicative Damped,2.0800621173955873,0.9216866461992673,KHCC-2C-SIMU
Additive,1.3117917970704556,0.5780009878470432,KHCC-3A-MEDICAL/SURGICAL
Additive Damped,0.9586342020375713,0.5362766066507141,KHCC-3A-MEDICAL/SURGICAL
Multiplicative,1.198576535677205,0.6676851534846939,KHCC-3A-MEDICAL/SURGICAL
Multiplicative Damped,0.9255833165716829,0.5715978653469307,KHCC-3A-MEDICAL/SURGICAL
Additive,1.649578694103839,0.7665862002737743,KHCC-3B-MEDICAL/SURGICAL
Additive Damped,1.7179713645027201,0.7813381710521967,KHCC-3B-MEDICAL/SURGICAL
Multiplicative,11.842378630729815,1.2735467115464356,KHCC-3B-MEDICAL/SURGICAL
Multiplicative Damped,1.6600985565842685,0.8014771791587386,KHCC-3B-MEDICAL/SURGICAL
Additive,20.2616487124048,2.2550125570389827,KHCC-3C-SURGERY
Additive Damped,20.68881196516127,2.2812762628309757,KHCC-3C-SURGERY
Multiplicative,937.2756649570981,6.785620439232064,KHCC-3C-SURGERY
Multiplicative Damped,20.120525717989217,2.3071387366787004,KHCC-3C-SURGERY
Additive,0.9121756511135053,0.5740032463334103,KHCC-4A-MEDICAL/SURGICAL
Additive Damped,0.858012113275194,0.5589148406480219,KHCC-4A-MEDICAL/SURGICAL
Multiplicative,0.9117802275330464,0.6212401329143016,KHCC-4A-MEDICAL/SURGICAL
