Model,MSE,MAE,Ward
Additive,2.401897772173806,1.200267803126658,KHCC-10H-BMT
Additive Damped,2.384231215514428,1.196783016481848,KHCC-10H-BMT
Multiplicative,2.277147528165568,1.1703443558447766,KHCC-10H-BMT
Multiplicative Damped,2.281113404913499,1.1708603079205946,KHCC-10H-BMT
Additive,4.127880814129398,1.0830188432598653,KHCC-10H-MEDICAL/SURGICAL
Additive Damped,3.9175049029915034,1.0331675957073343,KHCC-10H-MEDICAL/SURGICAL
Multiplicative,4.533490819170009,1.1981585686849918,KHCC-10H-MEDICAL/SURGICAL
Multiplicative Damped,4.197457227789316,1.199068429154323,KHCC-10H-MEDICAL/SURGICAL
Additive,8.021445722389723,2.105652492255698,KHCC-11H-MEDICAL/SURGICAL
Additive Damped,7.814024429173354,2.0864665680187953,KHCC-11H-MEDICAL/SURGICAL
Multiplicative,7.987281427265064,2.073876806216332,KHCC-11H-MEDICAL/SURGICAL
Multiplicative Damped,4.433590435068597e+44,2.2755516540527968e+21,KHCC-11H-MEDICAL/SURGICAL
Additive,1.0659084711484694,0.4899316175332251,KHCC-2A-MEDICAL/SURGICAL
Additive Damped,0.9307430956829095,0.44756383354056994,KHCC-2A-MEDICAL/SURGICAL
Multiplicative,0.9569656697766074,0.4942727097155574,KHCC-2A-MEDICAL/SURGICAL
Multiplicative Damped,0.8472531594313175,0.4354886454322483,KHCC-2A-MEDICAL/SURGICAL
Additive,5.735555031635958,1.8274298214390612,KHCC-2B-AICU
Additive Damped,5.693079107047123,1.818434568821077,KHCC-2B-AICU
Multiplicative,5.652159465869096,1.812225133558239,KHCC-2B-AICU
Multiplicative Damped,5.609027388624615,1.8031298708576176,KHCC-2B-AICU
Additive,2.0170592221784385,0.9072114560647035,KHCC-2C-SIMU
Additive Damped,2.01241508795299,0.9073830878420929,KHCC-2C-SIMU
Multiplicative,2.12493140853488,0.9382256122644762,KHCC-2C-SIMU
Multiplicative Damped,2.1044247603675474,0.9247987042132121,KHCC-2C-SIMU
Additive,1.3278546738913068,0.5711240877449881,KHCC-3A-MEDICAL/SURGICAL
Additive Damped,0.9636296372809343,0.5276334506434185,KHCC-3A-MEDICAL/SURGICAL
Multiplicative,1.2180397921187347,0.6671937337567904,KHCC-3A-MEDICAL/SURGICAL
Multiplicative Damped,0.9359594450860473,0.5675197866238998,KHCC-3A-MEDICAL/SURGICAL
Additive,1.695119471856821,0.7830338263302692,KHCC-3B-MEDICAL/SURGICAL
Additive Damped,1.7626962550414795,0.7947362924585332,KHCC-3B-MEDICAL/SURGICAL
Multiplicative,12.17836071503049,1.300406781914928,KHCC-3B-MEDICAL/SURGICAL
Multiplicative Damped,1.6992211944961695,0.8132975531467118,KHCC-3B-MEDICAL/SURGICAL
Additive,20.750070084898024,2.2785109736763602,KHCC-3C-SURGERY
Additive Damped,21.180768519416223,2.302697505719872,KHCC-3C-SURGERY
Multiplicative,964.4096810970544,6.940013010709333,KHCC-3C-SURGERY
Multiplicative Damped,20.58707861566616,2.3274473979695998,KHCC-3C-SURGERY
Additive,0.9180664798781047,0.571548348503857,KHCC-4A-MEDICAL/SURGICAL
