Model,MSE,MAE,Ward
AutoSARIMA,1.9414327812432384,1.0975690787439079,KHCC-10H-BMT
AutoSARIMA,4.199026349208262,1.2895096356267517,KHCC-10H-MEDICAL/SURGICAL
AutoSARIMA,6.391151737313091,1.9790789217883302,KHCC-11H-MEDICAL/SURGICAL
AutoSARIMA,0.8369712929085914,0.44437447910576344,KHCC-2A-MEDICAL/SURGICAL
AutoSARIMA,3.4113373846832413,1.4955461914403214,KHCC-2B-AICU
AutoSARIMA,2.32727252656613,1.0752141420110284,KHCC-2C-SIMU
AutoSARIMA,0.9726433568710741,0.7089654809834209,KHCC-3A-MEDICAL/SURGICAL
AutoSARIMA,1.811743150622384,1.1005133542721308,KHCC-3B-MEDICAL/SURGICAL
AutoSARIMA,18.09884207247157,2.433911633634053,KHCC-3C-SURGERY
AutoSARIMA,0.9805572608868631,0.7387208810962459,KHCC-4A-MEDICAL/SURGICAL
AutoSARIMA,1.035601182702016,0.7741087739602112,KHCC-4B-MEDICAL/SURGICAL
AutoSARIMA,8.151558761996393,2.063848465539137,KHCC-4C-HUSSAM AL-HARIRI
AutoSARIMA,2.512804423144648,1.2944013461891073,KHCC-4H-ADULT ICU
AutoSARIMA,2.8056095210383307,1.3778618200210972,KHCC-4H-BMT
AutoSARIMA,1.2032762163887545,0.7959846079299739,KHCC-5H-PEDIATRIC
AutoSARIMA,2.5253839867251378,1.2894198825146062,KHCC-5H-PEDIATRIC ICU
AutoSARIMA,7.930180156438734,2.1115887949001366,KHCC-6H-PEDIATRIC
AutoSARIMA,11.751518644395105,2.8021749629224644,KHCC-7H-BMT
AutoSARIMA,2.6965994003211065,1.104725794301268,KHCC-8H-SHAKOUR ABU GHAZAL
AutoSARIMA,6.933302401914394,2.107878866224557,KHCC-9H-LEUKEMIA
AutoSARIMA,7.739295427291171,2.2227165989385216,KHCC-ADULT DAY CASE KSB
AutoSARIMA,16.654687356791825,3.4215567922286025,KHCC-EMERGENCY ROOM
AutoSARIMA,13.154596635833254,2.9850815918158435,KHCC-PED DAY CASE
AutoSARIMA,2.4642827821176696,1.1121076569855606,KHCC-5C-KOLAGHASSI WING
